PSFType,Param1Name,Param1Value,Param2Name,Param2Value,NSR,LapVar,Tenengrad,HighFreqRatio,Mean,Std,Entropy,SaturationRatio,ClipRatio,LapGain,TenengradGain,HighFreqGain,NoiseGain,Score
motion,LEN,33,THETA,90,0.03,0.00933744031733162,0.239706479189559,0.0045795504545914,0.474895000837655,0.172129973535472,7.42326659863047,0.0122325102880658,0.00919753086419753,1.12094934527133,1.93406435760824,1.32484161448265,1.1480357986597,0.605104629327874
motion,LEN,5,THETA,80,0.1,0.0102985606525465,0.161617043096628,0.00530260481122465,0.445650555671825,0.141993275414294,7.10250799906036,0.000534979423868313,0.000216049382716049,1.23633077464296,1.30400214333814,1.53401771390531,1.14716703795387,0.604854540282307
motion,LEN,5,THETA,-70,0.1,0.00997380011752513,0.158840855864469,0.00501319828912998,0.445639643045813,0.141888496289288,7.10267910963613,0.000545267489711934,0.000246913580246914,1.19734363290708,1.28160256200885,1.45029381834493,1.11841780612295,0.601189091178329
motion,LEN,7,THETA,-20,0.1,0.00959678751893964,0.156327700660435,0.00462965043425802,0.445586456330856,0.143440641472906,7.12893467186777,0.00117283950617284,0.000473251028806584,1.1520836889416,1.2613252465116,1.33933529428926,1.08979003530377,0.599917377723684
motion,LEN,5,THETA,-45,0.1,0.00928136045438634,0.160079290357493,0.00453647594749605,0.445639191270821,0.142084974122826,7.10311726547919,0.00044238683127572,0.000123456790123457,1.11421701997499,1.29159483264036,1.31238036963141,1.09544874644074,0.597492886304038
motion,LEN,31,THETA,-90,0.03,0.0102931090509013,0.256223396642447,0.00495622307971398,0.474947207406604,0.172638994646919,7.42532703187902,0.0128497942386831,0.00966049382716049,1.23567631591689,2.06733059826721,1.43381116809866,1.20305933204877,0.596423325876622
motion,LEN,31,THETA,90,0.03,0.0102931090509013,0.256223396642447,0.00495622307971398,0.474947207406604,0.172638994646919,7.42532703187902,0.0128497942386831,0.00966049382716049,1.23567631591689,2.06733059826721,1.43381116809866,1.20305933204877,0.596423325876622
motion,LEN,33,THETA,45,0.03,0.0113037389206562,0.26802223326942,0.0045348793485861,0.474283973231781,0.181384917636386,7.44494522764432,0.0223148148148148,0.0174588477366255,1.35700130995307,2.16252914883882,1.31191848135253,1.22736298016853,0.594453588123188
motion,LEN,5,THETA,-65,0.1,0.0096358070534453,0.155678042683269,0.0047358336321752,0.445638934864805,0.141675885138318,7.10149521014822,0.000545267489711934,0.000257201646090535,1.15676794074621,1.25608350109646,1.37005357564775,1.0955053251726,0.59070886173873
motion,LEN,7,THETA,0,0.1,0.0104985901720763,0.164693255596343,0.00555742791431306,0.445576222036766,0.144242014750536,7.13456965652086,0.0019238683127572,0.000751028806584362,1.26034409642406,1.32882246931449,1.60773679499212,1.14278113034919,0.590086465374298
motion,LEN,5,THETA,-75,0.1,0.0100191517243675,0.160912711090366,0.0051778821537008,0.445641013116844,0.141966074885617,7.10266114131139,0.000565843621399177,0.000236625514403292,1.20278804296693,1.29831926220018,1.4979360572897,1.13062445490035,0.589719720999219
motion,LEN,5,THETA,-35,0.1,0.00946225998176792,0.155930401566876,0.0041347064598696,0.445638553463436,0.141944338460459,7.10190868684885,0.000298353909465021,7.20164609053498e-05,1.13593380743353,1.25811965099011,1.19615041607708,1.08696996261186,0.588504821153293
motion,LEN,35,THETA,45,0.03,0.0106667972219579,0.256463007156557,0.00425918948852726,0.474228643073819,0.181538931771929,7.45032870326702,0.021522633744856,0.0168106995884774,1.28053716604774,2.06926388833352,1.23216274923025,1.19352896470925,0.587307693575952
motion,LEN,7,THETA,10,0.1,0.00959614631942883,0.164040505606566,0.00501711531524473,0.44558872117605,0.144056126511451,7.132063685727,0.00145061728395062,0.000637860082304527,1.15200671365208,1.32355577609065,1.45142699489868,1.11607787662986,0.586205401406238
motion,LEN,31,THETA,70,0.03,0.0100743354852795,0.261040455531579,0.00453643782248375,0.474954842859727,0.174675604502587,7.42172392328116,0.0162345679012346,0.0124794238683128,1.20941279220888,2.10619688981456,1.31236934025127,1.18613705833184,0.581742796125477
motion,LEN,5,THETA,-80,0.1,0.00999627872022217,0.161632081508824,0.0052513095753631,0.44564371424046,0.141932521716065,7.1022721109637,0.000627572016460905,0.000216049382716049,1.20004216420897,1.30412348030459,1.51917825231014,1.13640753240899,0.577664235349583
motion,LEN,33,THETA,55,0.03,0.0105674066755127,0.259869331606804,0.00461828216917594,0.474341620811428,0.179182379235949,7.43974386404542,0.0202880658436214,0.0161625514403292,1.26860544127333,2.09674771243351,1.336046510638,1.20000693725469,0.574647485123057
motion,LEN,5,THETA,60,0.1,0.0093560498480389,0.155912398219626,0.0045688898246265,0.445653060647792,0.141617319485745,7.09485603132104,0.000380658436213992,0.000123456790123457,1.12318339877563,1.25797439153633,1.32175754622002,1.08962284366115,0.574302503863888
motion,LEN,5,THETA,55,0.1,0.00926866311987927,0.157099886823441,0.00452441897807717,0.445654548767733,0.141718982842472,7.09237421830438,0.000318930041152263,7.20164609053498e-05,1.11269271906182,1.26755560682709,1.30889234717396,1.08789813110241,0.573683754257282
motion,LEN,29,THETA,-85,0.03,0.00985230681399432,0.268450715692939,0.00468246843824425,0.47499926289941,0.17259507566241,7.41951602844525,0.0131584362139918,0.0098559670781893,1.18275849667923,2.16598634609937,1.35461528527718,1.20138560431279,0.565509011460255
motion,LEN,31,THETA,60,0.03,0.0109885277903357,0.276069583786334,0.00471487041964309,0.474546480221387,0.177808156530733,7.43058548859486,0.0198765432098765,0.0154423868312757,1.31916056365141,2.22745894907019,1.36398902048864,1.23397871321781,0.562450588107311
motion,LEN,31,THETA,40,0.03,0.0116811049605454,0.273401618330872,0.00460482434490469,0.474310069526733,0.180895288047604,7.43685927272051,0.0225205761316872,0.0175925925925926,1.40230368415473,2.20593255181892,1.33215322770297,1.25042361373287,0.56170910851681
motion,LEN,7,THETA,-15,0.1,0.00919055465269505,0.157892710620331,0.00452581281930411,0.445588261921767,0.143639539353875,7.1301805106673,0.00138888888888889,0.000524691358024691,1.10331588427897,1.27395248125707,1.30929557864389,1.0774619209624,0.560541182341961
motion,LEN,33,THETA,70,0.03,0.00969041358674928,0.25289901403323,0.00438794567899521,0.474892010306218,0.175295472054295,7.42533557667879,0.0168518518518519,0.0131481481481481,1.16332339445455,2.04050791939229,1.26941128725721,1.16592480400251,0.5587086131485
motion,LEN,7,THETA,-25,0.1,0.00925623854520692,0.156180562691976,0.00451795182516542,0.445589467277181,0.143416698401707,7.12918417803998,0.000967078189300412,0.000421810699588477,1.11120116266403,1.26013806833682,1.30702143137345,1.0776678471526,0.558153849686506
motion,LEN,29,THETA,70,0.03,0.0102965088739481,0.275994643532139,0.00465603826667783,0.474941326304141,0.174500376322296,7.42388639566438,0.0154938271604938,0.0123662551440329,1.23608446089976,2.22685429593325,1.3469691655289,1.21268353905696,0.557390417768112
motion,LEN,35,THETA,50,0.03,0.0110346007565276,0.27333461371689,0.0045710970791518,0.474339403032847,0.181907636345115,7.45169871608499,0.0223045267489712,0.0171810699588477,1.32469157210045,2.20539192715106,1.32239609419059,1.22944905289887,0.557373159838929
motion,LEN,29,THETA,-90,0.03,0.0112092499647806,0.271331017075915,0.00532384492257917,0.475026359604952,0.172922844918376,7.42320505157355,0.0133024691358025,0.0101337448559671,1.34565801568563,2.18922596925357,1.54016237454346,1.25177069574449,0.554509669411264
motion,LEN,29,THETA,90,0.03,0.0112092499647806,0.271331017075915,0.00532384492257917,0.475026359604952,0.172922844918376,7.42320505157355,0.0133024691358025,0.0101337448559671,1.34565801568563,2.18922596925357,1.54016237454346,1.25177069574449,0.554509669411264
motion,LEN,27,THETA,-70,0.03,0.010675865103965,0.287590093524978,0.00469199023609254,0.474771914701252,0.174536636370941,7.41706177484654,0.0158024691358025,0.0123251028806584,1.28162575521709,2.32041182770044,1.35736989496195,1.23601579307727,0.55276677466359
motion,LEN,9,THETA,35,0.1,0.00939196605282579,0.153821350961699,0.00432503337211176,0.445594209369614,0.144020501968061,7.14180392758367,0.001440329218107,0.000648148148148148,1.12749509929228,1.24110284102462,1.25121106366567,1.07638336259012,0.551812910188635
motion,LEN,35,THETA,35,0.03,0.0118108227519587,0.26647682309181,0.00465879460308675,0.473970504450142,0.182538970618413,7.43320483918443,0.0245884773662551,0.0196604938271605,1.41787616102345,2.15006005433413,1.34776656021081,1.24670460735378,0.548173692793481
